date,Constituent Ticker,Weight,Shares Held,Market Value,price,ret,label,portfolio_ret,portfolio_cum_ret
2017-08-14,RLJ,0.0156853231,5041.0,101676.97,20.17,-0.0166,Green,-0.007966666666666667,0.06230246369566128
2017-08-14,PEB,0.0140817071,2813.0,91281.85,32.45,-0.0128,Green,-0.007966666666666667,0.06230246369566128
2017-08-14,DRH,0.0140057989,8099.0,90789.79,11.21,-0.0353,Green,-0.007966666666666667,0.06230246369566128
2017-08-14,XHR,0.0130960276,4294.0,84892.38,19.77,-0.0115,Green,-0.007966666666666667,0.06230246369566128
2017-08-14,IRT,0.0038479305,2417.0,24943.44,10.32,0.0157,Green,-0.007966666666666667,0.06230246369566128
2017-08-21,AIV,0.0447502256,6354.0,288598.68,45.42,-0.0165,Green,-0.021566666666666668,0.03939214056195817
2017-08-21,RLJ,0.0155237568,5041.0,100114.26,19.86,-0.0154,Green,-0.021566666666666668,0.03939214056195817
2017-08-21,PEB,0.0138357848,2813.0,89228.36,31.72,-0.0225,Green,-0.021566666666666668,0.03939214056195817
2017-08-21,DRH,0.0135002171,8099.0,87064.25,10.75,-0.041,Green,-0.021566666666666668,0.03939214056195817
2017-08-21,XHR,0.0131368129,4294.0,84720.62,19.73,-0.002,Green,-0.021566666666666668,0.03939214056195817
2017-08-21,IRT,0.003744062,2417.0,24145.83,9.99,-0.032,Green,-0.021566666666666668,0.03939214056195817
2017-08-28,AIV,0.0449335888,6363.0,289580.13,45.51,0.002,Green,-0.000533333333333333,0.03883779808699184
2017-08-28,RLJ,0.0153546296,5041.0,98954.83,19.63,-0.0116,Green,-0.000533333333333333,0.03883779808699184
2017-08-28,PEB,0.0141203794,2813.0,91000.55,32.35,0.0199,Green,-0.000533333333333333,0.03883779808699184
2017-08-28,DRH,0.0133713536,8099.0,86173.36,10.64,-0.0102,Green,-0.000533333333333333,0.03883779808699184
2017-08-28,XHR,0.01296497,4327.0,83554.37,19.31,-0.0213,Green,-0.000533333333333333,0.03883779808699184
2017-08-28,IRT,0.0038141692,2417.0,24580.89,10.17,0.018,Green,-0.000533333333333333,0.03883779808699184
2017-09-11,AIV,0.0443898997,6363.0,294416.01,46.27,0.0167,Green,0.03986666666666666,0.08025279830405996
2017-09-11,RLJ,0.0226485111,7069.0,150216.25,21.25,0.0825,Green,0.03986666666666666,0.08025279830405996
2017-09-11,PEB,0.0146237829,2813.0,96992.24,34.48,0.0658,Green,0.03986666666666666,0.08025279830405996
2017-09-11,DRH,0.0131879683,8099.0,87469.2,10.8,0.015,Green,0.03986666666666666,0.08025279830405996
2017-09-11,XHR,0.0131457294,4327.0,87189.05,20.15,0.0435,Green,0.03986666666666666,0.08025279830405996
2017-09-11,IRT,0.0037644342,2417.0,24967.61,10.33,0.0157,Green,0.03986666666666666,0.08025279830405996
2017-09-18,AIV,0.0432518721,6256.0,285899.2,45.7,-0.0123,Green,0.0049499999999999995,0.08560004965566503
2017-09-18,RLJ,0.0229849261,6963.0,151932.66,21.82,0.0268,Green,0.0049499999999999995,0.08560004965566503
2017-09-18,PEB,0.0141836145,2747.0,93755.11,34.13,-0.0102,Green,0.0049499999999999995,0.08560004965566503
2017-09-18,XHR,0.013231818,4252.0,87463.64,20.57,0.0208,Green,0.0049499999999999995,0.08560004965566503
2017-09-18,DRH,0.0131227364,7980.0,86742.6,10.87,0.0065,Green,0.0049499999999999995,0.08560004965566503
2017-09-18,IRT,0.0042970681,2755.0,28404.05,10.31,-0.0019,Green,0.0049499999999999995,0.08560004965566503
2017-09-25,AIV,0.0424508205,6235.0,277706.9,44.54,-0.0254,Green,0.006533333333333333,0.09269263664674865
2017-09-25,RLJ,0.0233311617,6963.0,152628.96,21.92,0.0046,Green,0.006533333333333333,0.09269263664674865
2017-09-25,PEB,0.0148984706,2747.0,97463.56,35.48,0.0396,Green,0.006533333333333333,0.09269263664674865
2017-09-25,XHR,0.0136623493,4252.0,89377.04,21.02,0.0219,Green,0.006533333333333333,0.09269263664674865
2017-09-25,DRH,0.0133938259,7980.0,87620.4,10.98,0.0101,Green,0.006533333333333333,0.09269263664674865
2017-09-25,IRT,0.0050499446,3242.0,33035.98,10.19,-0.0116,Green,0.006533333333333333,0.09269263664674865
2017-10-02,AIV,0.0418526805,6184.0,271972.32,43.98,-0.0126,Green,0.0017999999999999995,0.0946594833927128
2017-10-02,RLJ,0.0233976402,6883.0,152045.47,22.09,0.0078,Green,0.0017999999999999995,0.0946594833927128
2017-10-02,PEB,0.014882035,2715.0,96708.3,35.62,0.0039,Green,0.0017999999999999995,0.0946594833927128
2017-10-02,XHR,0.0136406335,4203.0,88641.27,21.09,0.0033,Green,0.0017999999999999995,0.0946594833927128
2017-10-02,DRH,0.0132309788,7888.0,85979.2,10.9,-0.0073,Green,0.0017999999999999995,0.0946594833927128
2017-10-02,IRT,0.0051635922,3242.0,33554.7,10.35,0.0157,Green,0.0017999999999999995,0.0946594833927128
2017-10-09,AIV,0.0422016264,6184.0,276734.0,44.75,0.0175,Green,0.010533333333333334,0.10618989661778255
2017-10-09,RLJ,0.0229873312,6883.0,150737.7,21.9,-0.0086,Green,0.010533333333333334,0.10618989661778255
2017-10-09,PEB,0.0149963286,2715.0,98337.3,36.22,0.0168,Green,0.010533333333333334,0.10618989661778255
2017-10-09,XHR,0.0138573998,4203.0,90868.86,21.62,0.0251,Green,0.010533333333333334,0.10618989661778255
2017-10-09,DRH,0.0131357903,7888.0,86136.96,10.92,0.0018,Green,0.010533333333333334,0.10618989661778255
2017-10-09,IRT,0.0051714385,3242.0,33911.32,10.46,0.0106,Green,0.010533333333333334,0.10618989661778255
2017-10-16,AIV,0.0415430578,6222.0,275323.5,44.25,-0.0112,Green,0.00905,0.11620091518217346
2017-10-16,RLJ,0.0233747436,6922.0,154914.36,22.38,0.0219,Green,0.00905,0.11620091518217346
2017-10-16,PEB,0.0152434995,2715.0,101025.15,37.21,0.0273,Green,0.00905,0.11620091518217346
2017-10-16,XHR,0.0139647088,4203.0,92550.06,22.02,0.0185,Green,0.00905,0.11620091518217346
2017-10-16,DRH,0.0130803623,7888.0,86689.12,10.99,0.0064,Green,0.00905,0.11620091518217346
2017-10-16,IRT,0.0050727907,3242.0,33619.54,10.37,-0.0086,Green,0.00905,0.11620091518217346
2017-10-23,AIV,0.0418469873,6222.0,274452.42,44.11,-0.0032,Green,-0.025933333333333333,0.0872541047817823
2017-10-23,RLJ,0.0226389366,6922.0,148476.9,21.45,-0.0416,Green,-0.025933333333333333,0.0872541047817823
