date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value,price,ret
2020-09-14,VNQ,HST,0.0059,31468953.0,339235313.0,10.78,0.0
2020-09-14,VNQ,GLPI,0.00585,9285270.0,336219627.0,36.21,0.0
2020-09-14,VNQ,OHI,0.0057,10119707.0,327676113.0,32.38,0.0
2020-09-14,VNQ,REG,0.00534,7483564.0,307050631.0,41.03,0.0
2020-09-14,VNQ,NNN,0.00472,7654694.0,271358902.0,35.45,0.0
2020-09-14,VNQ,CUBE,0.00446,8644199.0,256473384.0,29.67,0.0
2020-09-14,VNQ,VNO,0.00435,7249508.0,250253016.0,34.52,0.0
2020-09-14,VNQ,FR,0.00433,5664243.0,248773553.0,43.92,0.0
2020-09-14,VNQ,KRC,0.00432,4267531.0,248669031.0,58.27,0.0
2020-09-14,VNQ,REXR,0.00415,5080629.0,238433919.0,46.93,0.0
2020-09-14,VNQ,EGP,0.004,1734678.0,230122383.0,132.66,0.0
2020-09-14,VNQ,DEI,0.00376,7428990.0,216480769.0,29.14,0.0
2020-09-14,VNQ,STAG,0.00376,6630097.0,216141162.0,32.6,0.0
2020-09-14,VNQ,KIM,0.00374,19281422.0,214987855.0,11.15,0.0
2020-09-14,VNQ,CUZ,0.0035,6543683.0,201021942.0,30.72,0.0
2020-09-14,VNQ,TRNO,0.00318,3004727.0,182567213.0,60.76,0.0
2020-09-14,VNQ,HIW,0.00309,4627576.0,177421264.0,38.34,0.0
2020-09-14,VNQ,HR,0.00306,6006244.0,175982949.0,29.3,0.0
2020-09-14,VNQ,EQC,0.00299,5440653.0,171761415.0,31.57,0.0
2020-09-14,VNQ,BRX,0.00266,13285373.0,152914643.0,11.51,0.0
2020-09-14,VNQ,ADC,0.00237,2032000.0,136083040.0,66.97,0.0
2020-09-14,VNQ,SBRA,0.00235,9150824.0,134883146.0,14.74,0.0
2020-09-14,VNQ,LXP,0.00229,11367523.0,131863267.0,11.6,0.0
2020-09-14,VNQ,NHI,0.00214,1987960.0,123253520.0,62.0,0.0
2020-09-14,VNQ,EPR,0.00174,3502805.0,100285307.0,28.63,0.0
2020-09-14,VNQ,PK,0.00154,10697126.0,88465232.0,8.27,0.0
2020-09-14,VNQ,APLE,0.00145,9480499.0,83618001.0,8.82,0.0
2020-09-14,VNQ,NSA,0.00143,2660550.0,81998151.0,30.82,0.0
2020-09-14,VNQ,FCPT,0.00137,3121177.0,78653660.0,25.2,0.0
2020-09-14,VNQ,SHO,0.00131,10034761.0,75060012.0,7.48,0.0
2020-09-14,VNQ,RHP,0.00129,2324643.0,74435069.0,32.02,0.0
2020-09-21,VNQ,PLD,0.05763,32479603.0,3308372362.0,101.86,-0.0338
2020-09-21,VNQ,EQIX,0.05356,3892692.0,3074370288.0,789.78,0.0055
2020-09-21,VNQ,DLR,0.03028,11165600.0,1737925640.0,155.65,-0.0305
2020-09-21,VNQ,PSA,0.02486,6717992.0,1426901501.0,212.4,0.0626
2020-09-21,VNQ,WELL,0.0184,18359075.0,1056013994.0,57.52,0.0739
2020-09-21,VNQ,AVB,0.01704,6188736.0,978191612.0,158.06,0.0323
2020-09-21,VNQ,O,0.01632,15102446.0,936804725.0,62.03,0.033
2020-09-21,VNQ,ARE,0.01628,5549902.0,934492499.0,168.38,-0.0516
2020-09-21,VNQ,EQR,0.01609,16364444.0,923772864.0,56.45,0.0526
2020-09-21,VNQ,SPG,0.01589,13445044.0,912246235.0,67.85,0.0882
2020-09-21,VNQ,VTR,0.01178,16405831.0,676084296.0,41.21,0.0743
2020-09-21,VNQ,SUI,0.01122,4321825.0,644297671.0,149.08,-0.0057
2020-09-21,VNQ,ESS,0.01085,2876735.0,622841895.0,216.51,-0.0192
2020-09-21,VNQ,MAA,0.01026,5028669.0,588957713.0,117.12,-0.0174
2020-09-21,VNQ,EXR,0.01007,5426634.0,578207853.0,106.55,0.0311
2020-09-21,VNQ,BXP,0.00982,6490772.0,563853364.0,86.87,-0.0249
2020-09-21,VNQ,WPC,0.00916,7581207.0,525908330.0,69.37,-0.028
2020-09-21,VNQ,ELS,0.00879,7609723.0,504448538.0,66.29,-0.0297
2020-09-21,VNQ,UDR,0.00786,12967624.0,451402991.0,34.81,-0.0384
2020-09-21,VNQ,MPW,0.00752,23233511.0,431678634.0,18.58,-0.077
2020-09-21,VNQ,CPT,0.00678,4282437.0,389444821.0,90.94,0.0014
2020-09-21,VNQ,IRM,0.00664,12659479.0,380923723.0,30.09,0.0674
2020-09-21,VNQ,HST,0.00606,31001297.0,348144565.0,11.23,0.0417
2020-09-21,VNQ,AMH,0.00593,11886824.0,340438639.0,28.64,-0.0124
