date,label,NAV,cum_fundflow
2020-08-31,Traditional,29058523702.39,-65776377.919999994
2020-08-31,Green,54290250.0,1184360.0
2020-08-31,Traditional,29621135215.800003,-82091128.32
2020-08-31,Green,54132975.0,1184360.0
2020-08-31,Traditional,29236229018.1,-72633318.11999999
2020-08-31,Green,54507600.0,1184360.0
2020-08-31,Traditional,29099067584.4,-89066466.53999999
2020-08-31,Green,53582175.0,1184360.0
2020-08-31,Traditional,28681897915.62,-105214795.99
2020-08-31,Green,53878725.0,1184360.0
2020-08-31,Traditional,29004085197.75,-112982244.55
2020-08-31,Green,53254575.0,1184360.0
2020-08-31,Traditional,28606846869.26,-112853978.8
2020-08-31,Green,52835400.0,1184360.0
2020-08-31,Traditional,28450298105.45,-120429731.71
2020-09-14,Green,54939825.0,0.0
2020-09-14,Traditional,29289277722.25,112534309.16
2020-09-14,Green,54780075.0,0.0
2020-09-14,Traditional,29663401132.19,137383021.16
2020-09-14,Green,55052325.0,0.0
2020-09-14,Traditional,29804009109.6,146083302.75
2020-09-14,Green,54277650.0,0.0
2020-09-14,Traditional,29226676847.16,146296984.35
2020-09-14,Green,52982775.0,0.0
2020-09-14,Traditional,28492582347.9,48213488.989999995
2020-09-21,Green,51011550.0,0.0
2020-09-21,Traditional,27481440058.56,-152347287.51
2020-09-21,Green,51647400.0,0.0
2020-09-21,Traditional,27810941345.12,-144543682.70999998
2020-09-21,Green,50195025.0,0.0
2020-09-21,Traditional,26995167049.620003,-136388986.51999998
2020-09-21,Green,50186025.0,0.0
2020-09-21,Traditional,26987292598.95,-281433307.03999996
2020-09-21,Green,51467850.0,0.0
2020-09-21,Traditional,27228208333.2,-373509307.03999996
2020-09-28,Green,52455150.0,0.0
2020-09-28,Traditional,27810989221.8,7768000.0
2020-09-28,Green,51533550.0,0.0
2020-09-28,Traditional,27582231124.35,-164000.0
2020-09-28,Green,51651450.0,0.0
2020-09-28,Traditional,27688156008.42,602676.67
2020-09-28,Green,53400375.0,0.0
2020-09-28,Traditional,28248999781.22,602676.67
2020-09-28,Green,54491625.0,0.0
2020-09-28,Traditional,28728165619.39,16806988.560000002
2020-10-05,Green,49932465.0,-4843700.0
2020-10-05,Traditional,28848336783.45,-40934031.04
2020-10-05,Green,27857140.0,-26765270.0
2020-10-05,Traditional,28743566714.98,33372604.919999994
2020-10-05,Green,27949255.0,-26765270.0
2020-10-05,Traditional,28836289478.28,90911998.91999999
2020-10-05,Green,27202890.0,-27980455.0
2020-10-05,Traditional,29317109416.1,82820333.99999999
2020-10-05,Green,25765215.0,-29216950.0
2020-10-05,Traditional,29194227938.0,83047045.99999999
2020-10-12,Green,24604500.0,-1226915.0
2020-10-12,Traditional,29537496629.820004,191031804.0
2020-10-12,Green,24163600.0,-1226915.0
2020-10-12,Traditional,29069957279.37,241268928.21
2020-10-12,Green,23910200.0,-1226915.0
2020-10-12,Traditional,28708110014.19,233974090.03
2020-10-12,Green,23988000.0,-1226915.0
2020-10-12,Traditional,28787908696.800003,161699053.48000002
2020-10-12,Green,23642300.0,-1226915.0
2020-10-12,Traditional,28602383490.24,202839590.28000003
2020-10-19,Green,23269600.0,0.0
2020-10-19,Traditional,28156338430.5,206341.8
2020-10-19,Green,23512400.0,0.0
2020-10-19,Traditional,28371593201.76,-7602704.7
2020-10-19,Green,23597900.0,0.0
2020-10-19,Traditional,28666622828.96,377144695.5
2020-10-19,Green,23945200.0,0.0
2020-10-19,Traditional,28655878654.95,377166662.5
2020-10-19,Green,24045300.0,0.0
2020-10-19,Traditional,28859424962.95,401127252.0
2020-10-26,Green,23682000.0,0.0
2020-10-26,Traditional,28450035348.28,66770.85
2020-10-26,Green,23207200.0,0.0
2020-10-26,Traditional,27990818378.980003,598903.63
2020-10-26,Green,22495900.0,0.0
2020-10-26,Traditional,27308974577.390003,8575272.92
2020-10-26,Green,22872100.0,0.0
2020-10-26,Traditional,27703451879.800003,-6304976.75
2020-10-26,Green,23003600.0,0.0
2020-10-26,Traditional,27476858185.92,-21151722.75
2020-11-02,Green,23545600.0,0.0
2020-11-02,Traditional,28123294963.47,-38098629.36
2020-11-02,Green,24064400.0,0.0
2020-11-02,Traditional,28627234837.11,-85164150.66
2020-11-02,Green,24121200.0,0.0
2020-11-02,Traditional,28599914565.06,-148185227.31
2020-11-02,Green,22948675.0,-1206060.0
2020-11-02,Traditional,28695527810.79,-188045960.56
2020-11-02,Green,22729605.0,-1206060.0
2020-11-02,Traditional,28485265414.300003,-187966597.42000002
2020-11-09,Green,24245045.0,0.0
2020-11-09,Traditional,29385733614.120003,-87586220.2
2020-11-09,Green,25096435.0,0.0
2020-11-09,Traditional,29928746501.300003,20229161.239999995
2020-11-09,Green,24843260.0,0.0
2020-11-09,Traditional,30102603430.17,54804854.63999999
2020-11-09,Green,24396000.0,0.0
2020-11-09,Traditional,29771614662.4,113852865.5
2020-11-09,Green,25183835.0,0.0
2020-11-09,Traditional,30562631406.45,114055707.1
2020-11-16,Green,24268590.0,-1325465.0
2020-11-16,Traditional,30864274092.7,-16656316.56
2020-11-16,Green,24389370.0,-1325465.0
2020-11-16,Traditional,30896468802.68,-16649153.66
2020-11-16,Green,23724630.0,-1325465.0
2020-11-16,Traditional,30311180398.5,-15384922.4
2020-11-16,Green,23819130.0,-1325465.0
2020-11-16,Traditional,30197561448.6,-235520843.9
2020-11-16,Green,23724090.0,-1325465.0
2020-11-16,Traditional,30035438425.6,-252150840.5
2020-11-23,Green,23808510.0,0.0
2020-11-23,Traditional,30117423662.76,35798318.72
2020-11-23,Green,24167790.0,0.0
2020-11-23,Traditional,30288246502.25,36083230.69
2020-11-23,Green,24165630.0,0.0
2020-11-23,Traditional,30301032607.44,45315379.44
2020-11-23,Green,23829750.0,0.0
2020-11-23,Traditional,30052164862.800003,-65454753.60000001
2020-11-30,Green,23666400.0,0.0
2020-11-30,Traditional,29733508799.82,31062.42
2020-11-30,Green,24017490.0,0.0
2020-11-30,Traditional,30142192783.0,8472062.7
2020-11-30,Green,24078780.0,0.0
2020-11-30,Traditional,30047572950.78,170242992.79999998
2020-11-30,Green,24368940.0,0.0
2020-11-30,Traditional,30331672661.53,187118992.79999998
2020-11-30,Green,24836580.0,0.0
2020-11-30,Traditional,30793034908.800003,195852138.98
2020-12-07,Green,24629310.0,0.0
2020-12-07,Traditional,30524422074.780003,9465292.8
2020-12-07,Green,24511320.0,0.0
2020-12-07,Traditional,30448043814.16,36566848.260000005
2020-12-07,Green,24391260.0,0.0
2020-12-07,Traditional,30293020217.6,70874628.06
2020-12-07,Green,24064560.0,0.0
2020-12-07,Traditional,30316612175.96,223717893.66
2020-12-07,Green,24052860.0,0.0
2020-12-07,Traditional,30365753510.26,283651463.54
2020-12-14,Green,23806080.0,0.0
2020-12-14,Traditional,30327634596.0,109908826.03
2020-12-14,Green,24433020.0,0.0
2020-12-14,Traditional,30970570742.94,110182162.03
2020-12-14,Green,24438150.0,0.0
2020-12-14,Traditional,30985137643.6,110307143.49
2020-12-14,Green,24183540.0,0.0
2020-12-14,Traditional,31363609082.1,170439758.55
2020-12-14,Green,23584500.0,0.0
2020-12-14,Traditional,30747830385.3,188077226.25
2020-12-21,Green,23625000.0,0.0
2020-12-21,Traditional,30556162504.98,167776.25
2020-12-21,Green,23777460.0,0.0
2020-12-21,Traditional,30833189170.43,34413424.61
2020-12-21,Green,23634270.0,0.0
2020-12-21,Traditional,30596456542.42,25904424.61
2020-12-21,Green,23921550.0,0.0
2020-12-21,Traditional,30434173108.95,85026424.61
2020-12-28,Green,24146640.0,0.0
2020-12-28,Traditional,30661575750.61,16770000.0
2020-12-28,Green,23923800.0,0.0
2020-12-28,Traditional,30522019149.9,143415000.0
2020-12-28,Green,24090660.0,0.0
2020-12-28,Traditional,30682673460.88,169031970.9
2020-12-28,Green,24282810.0,0.0
2020-12-28,Traditional,31000299867.96,169137058.4
2021-01-04,Green,23407290.0,0.0
2021-01-04,Traditional,30014255898.72,59774401.5
2021-01-04,Green,23396220.0,0.0
2021-01-04,Traditional,30012505900.51,10565143.259999998
2021-01-04,Green,23934780.0,0.0
2021-01-04,Traditional,30201986710.28,134062731.66999999
2021-01-04,Green,23734080.0,0.0
2021-01-04,Traditional,30141099897.480003,109803820.07
2021-01-04,Green,23927130.0,0.0
2021-01-04,Traditional,30412958525.7,85218448.22
2021-01-11,Green,23644170.0,0.0
2021-01-11,Traditional,29989417287.68,8435231.7
2021-01-11,Green,23821110.0,0.0
2021-01-11,Traditional,30099483517.54,41539431.379999995
2021-01-11,Green,24132780.0,0.0
2021-01-11,Traditional,30486601944.16,58301014.559999995
2021-01-11,Green,24215850.0,0.0
2021-01-11,Traditional,31066140783.21,441054212.22
2021-01-11,Green,24427800.0,0.0
2021-01-11,Traditional,31514751941.9,524816500.23
2021-01-11,Green,24252030.0,0.0
2021-01-11,Traditional,31400581990.08,533537820.43
2021-01-11,Green,24785550.0,0.0
2021-01-11,Traditional,32045020706.1,559289232.75
2021-01-11,Green,24653880.0,0.0
2021-01-11,Traditional,32009358493.840004,688276514.73
2021-01-11,Green,24652890.0,0.0
2021-01-11,Traditional,32214668576.370003,799710071.51
2021-01-25,Green,24557220.0,0.0
2021-01-25,Traditional,32450856994.05,25737000.0
2021-01-25,Green,24561000.0,0.0
2021-01-25,Traditional,32806165278.72,120978027.75
2021-01-25,Green,24036120.0,0.0
2021-01-25,Traditional,32268922308.0,164953072.87
2021-01-25,Green,24358860.0,0.0
2021-01-25,Traditional,32385279577.89,96768105.37
2021-01-25,Green,24078060.0,0.0
2021-01-25,Traditional,32022852262.56,122565105.37
2021-02-01,Green,24577650.0,0.0
2021-02-01,Traditional,32808989335.7,42622647.84
2021-02-01,Green,24732180.0,0.0
2021-02-01,Traditional,33024045348.910004,68818742.55000001
2021-02-01,Green,24793200.0,0.0
2021-02-01,Traditional,32936407407.26,60481942.33000001
2021-02-01,Green,24982920.0,0.0
2021-02-01,Traditional,33194555838.74,121899475.29000002
2021-02-01,Green,25021710.0,0.0
2021-02-01,Traditional,33414076010.7,201104040.35000002
2021-02-08,Green,25282710.0,0.0
2021-02-08,Traditional,33584755986.72,25728.12
2021-02-08,Green,25284240.0,0.0
2021-02-08,Traditional,33837048423.36,115326065.88000001
2021-02-08,Green,25470540.0,0.0
2021-02-08,Traditional,34012317690.56,115548721.56000002
2021-02-08,Green,25754220.0,0.0
2021-02-08,Traditional,33959465182.24,-9340164.839999989
2021-02-08,Green,25822980.0,0.0
2021-02-08,Traditional,33989086566.4,8900944.800000012
2021-02-08,Green,25965810.0,0.0
2021-02-08,Traditional,33694361796.48,-16693474.399999987
2021-02-08,Green,25861140.0,0.0
2021-02-08,Traditional,33630269385.12,-16345558.939999986
2021-02-08,Green,25823520.0,0.0
2021-02-08,Traditional,33524244771.97,10406626.260000013
2021-02-08,Green,26107650.0,0.0
2021-02-08,Traditional,33758283324.66,28094588.720000014
2021-02-22,Green,26237340.0,0.0
2021-02-22,Traditional,34107182939.55,71234358.44
2021-02-22,Green,26704350.0,0.0
