ETFG Date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value
2021-11-08,VNQ,AVB,0.01849,6534878.0,1448390360.0
2021-11-08,VNQ,EQR,0.01687,16331920.0,1321578966.0
2021-11-08,VNQ,ARE,0.016,6559347.0,1253294431.0
2021-11-08,VNQ,WY,0.01593,35071178.0,1247481801.0
2021-11-08,VNQ,O,0.01448,17484079.0,1134017364.0
2021-11-08,VNQ,EXR,0.01343,6259834.0,1051589514.0
2021-11-08,VNQ,INVH,0.013,26571584.0,1018488815.0
2021-11-08,VNQ,VTR,0.01298,18418828.0,1016903494.0
2021-11-08,VNQ,MAA,0.01278,5359139.0,1000819208.0
2021-11-08,VNQ,ESS,0.01242,3042637.0,972852754.0
2021-11-08,VNQ,SUI,0.01237,5234685.0,968940194.0
2021-11-08,VNQ,PEAK,0.01078,25227523.0,844617470.0
2021-11-08,VNQ,DRE,0.01073,17552883.0,840256509.0
2021-11-08,VNQ,VICI,0.01042,28739146.0,816479138.0
2021-11-08,VNQ,BXP,0.0096,6940658.0,752020294.0
2021-11-08,VNQ,UDR,0.0094,13894748.0,736143749.0
2021-11-08,VNQ,CPT,0.00861,4572482.0,674303921.0
2021-11-08,VNQ,ELS,0.00808,8107339.0,633183176.0
2021-11-08,VNQ,WPC,0.00777,8330366.0,608449933.0
2021-11-08,VNQ,JLL,0.00761,2401851.0,595875215.0
2021-11-08,VNQ,IRM,0.0075,13515576.0,587251777.0
2021-11-08,VNQ,KIM,0.00724,27313775.0,566760831.0
2021-11-08,VNQ,MPW,0.00705,27534129.0,552609969.0
2021-11-08,VNQ,HST,0.00689,33053244.0,539759475.0
2021-11-08,VNQ,AMH,0.00661,13572485.0,517383128.0
2021-11-08,VNQ,VER.UN,0.00619,10725586.0,485118237.0
2021-11-08,VNQ,REG,0.00615,7156313.0,481834554.0
2021-11-08,VNQ,GLPI,0.00612,10352025.0,479505798.0
2021-11-08,VNQ,LAMR,0.00588,4058025.0,460382936.0
2021-11-08,VNQ,CUBE,0.00583,9432876.0,457022842.0
2021-11-08,VNQ,CONE,0.00567,5736069.0,444029101.0
2021-11-08,VNQ,LSI,0.00527,3597540.0,412781740.0
2021-11-08,VNQ,FRT,0.00493,3275877.0,386520727.0
2021-11-08,VNQ,STOR,0.00466,11395945.0,365012118.0
2021-11-08,VNQ,AIRC-W,0.00457,7341174.0,358322703.0
2021-11-08,VNQ,REXR,0.00455,6275063.0,356109825.0
2021-11-08,VNQ,NNN,0.00453,8219118.0,354983706.0
2021-11-08,VNQ,COLD,0.00438,11821581.0,343416928.0
2021-11-08,VNQ,OHI,0.00421,11017526.0,330085079.0
2021-11-08,VNQ,KRC,0.00415,4905980.0,324824936.0
2021-11-08,VNQ,VNO,0.00409,7618540.0,320054865.0
2021-11-08,VNQ,FR,0.00402,6044433.0,314794071.0
2021-11-08,VNQ,ACC,0.00399,6453585.0,312676193.0
2021-11-08,VNQ,EGP,0.00399,1873422.0,312168308.0
2021-11-08,VNQ,BRX,0.00392,13901806.0,307368931.0
2021-11-08,VNQ,HTA,0.00388,10243548.0,303823634.0
2021-11-08,VNQ,STAG,0.00375,7475108.0,293397989.0
2021-11-08,VNQ,COR,0.00356,2012150.0,278763261.0
2021-11-08,VNQ,MGP,0.00351,7180144.0,274999515.0
2021-11-08,VNQ,IIPR,0.00331,1120040.0,258919647.0
2021-11-08,VNQ,DEI,0.00331,8214164.0,259649724.0
2021-11-08,VNQ,CUZ,0.00331,6958799.0,259493615.0
2021-11-08,VNQ,SRC,0.00316,5381665.0,247771857.0
2021-11-08,VNQ,RYN,0.00296,6508567.0,232225671.0
2021-11-08,VNQ,SLG.UN,0.00294,3246781.0,230001966.0
2021-11-08,VNQ,HIW,0.00273,4871397.0,213659472.0
2021-11-08,VNQ,PK,0.00271,11071940.0,211916932.0
2021-11-08,VNQ,TRNO,0.00263,3256684.0,205920129.0
2021-11-08,VNQ,RHP,0.00262,2449040.0,204984648.0
2021-11-08,VNQ,NSA,0.00262,3882030.0,204932364.0
2021-11-08,VNQ,RDFN,0.00258,4033733.0,202090023.0
2021-11-08,VNQ,ADC,0.00254,3003100.0,198895313.0
2021-11-08,VNQ,HR,0.00252,6632130.0,197504831.0
2021-11-08,VNQ,HPP,0.00237,7067451.0,185661938.0
2021-11-08,VNQ,DOC,0.00227,10088186.0,177753837.0
2021-11-08,VNQ,EPR,0.00221,3500744.0,172866739.0
2021-11-08,VNQ,OUT,0.00219,6814410.0,171723132.0
2021-11-08,VNQ,HHC,0.00217,1935378.0,169945542.0
2021-11-08,VNQ,BNL.UN,0.00216,6827098.0,169380301.0
2021-11-08,VNQ,LXP,0.00212,12999120.0,165738780.0
2021-11-08,VNQ,JBGS,0.00209,5541469.0,164082897.0
2021-11-08,VNQ,PCH,0.00207,3139013.0,161910291.0
2021-11-08,VNQ,MAC,0.00206,9669614.0,161579250.0
2021-11-08,VNQ,APLE,0.002,9948991.0,156497628.0
2021-11-08,VNQ,EPRT,0.00196,5501537.0,153602913.0
2021-11-08,VNQ,PSB,0.00193,966148.0,151434038.0
2021-11-08,VNQ,SBRA,0.0019,10111049.0,148834641.0
2021-11-08,VNQ,EQC,0.00189,5705581.0,148230994.0
2021-11-08,VNQ,OFC,0.00181,5256194.0,141812114.0
2021-11-08,VNQ,PEB,0.00176,6148122.0,137779414.0
2021-11-08,VNQ,DBRG.UN,0.00175,22761557.0,137252189.0
2021-11-08,VNQ,UNIT,0.00173,10923879.0,135128383.0
2021-11-08,VNQ,RPAI,0.00165,10048881.0,129429587.0
2021-11-08,VNQ,KW,0.00158,5928974.0,124034136.0
2021-11-08,VNQ,SITC,0.00156,7901189.0,121994358.0
2021-11-08,VNQ,EXPI,0.00155,3048610.0,121243220.0
2021-11-08,VNQ,SHO,0.00154,10118769.0,120818102.0
2021-11-08,VNQ,CWK,0.00149,6258587.0,116472304.0
2021-11-08,VNQ,RLJ,0.00146,7717350.0,114679821.0
2021-11-08,VNQ,NMRK,0.00145,7942423.0,113656073.0
2021-11-08,VNQ,OPEN,0.00142,5406549.0,110996451.0
2021-11-08,VNQ,NHI,0.00139,2038252.0,109046482.0
2021-11-08,VNQ,BDN,0.00137,7998157.0,107335267.0
2021-11-08,VNQ,CXP,0.00131,5375264.0,102237521.0
2021-11-08,VNQ,PDM,0.00129,5807342.0,101221971.0
2021-11-08,VNQ,UE,0.00128,5476120.0,100267757.0
2021-11-08,VNQ,WRE,0.00125,3958009.0,97960723.0
2021-11-08,VNQ,IRT,0.00124,4779639.0,97265654.0
2021-11-08,VNQ,ROIC,0.00124,5558081.0,96821771.0
2021-11-08,VNQ,FCPT,0.00122,3564341.0,95738199.0
2021-11-08,VNQ,RLGY,0.00122,5448061.0,95558990.0
2021-11-08,VNQ,XHR,0.00121,5325447.0,94473430.0
2021-11-08,VNQ,DRH,0.00119,9838517.0,92973986.0
2021-11-08,VNQ,CTRE,0.00117,4528830.0,92025826.0
2021-11-08,VNQ,AAT,0.00115,2405279.0,90005540.0
2021-11-08,VNQ,STAR,0.0011,3426995.0,85949035.0
2021-11-08,VNQ,SVC,0.0011,7712834.0,86460869.0
2021-11-08,VNQ,AKR,0.00105,4038663.0,82429112.0
2021-11-08,VNQ,MNR,0.00104,4369799.0,81496751.0
2021-11-08,VNQ,DEA,0.00104,3924360.0,81077278.0
2021-11-08,VNQ,KRG,0.00103,3953325.0,80489697.0
2021-11-08,VNQ,9999444D,0.00101,3391188.0,79489447.0
2021-11-15,NURE,HST,0.0533849699,294798.0,5282780.16
2021-11-15,NURE,CPT,0.0526939,31051.0,5214394.43
2021-11-15,NURE,AVB,0.051171181,20632.0,5063711.76
2021-11-15,NURE,ESS,0.0509146101,14335.0,5038322.45
2021-11-15,NURE,MAA,0.0506688284,24328.0,5014000.8
2021-11-15,NURE,EQR,0.0503297617,56596.0,4980448.0
2021-11-15,NURE,UDR,0.0502046958,87251.0,4968071.94
2021-11-15,NURE,EXR,0.0499358695,24716.0,4941469.88
2021-11-15,NURE,PSA,0.0482260029,14386.0,4772267.78
2021-11-15,NURE,CUBE,0.0481478859,86565.0,4764537.6
2021-11-15,NURE,INVH,0.0470624379,113894.0,4657125.66
2021-11-15,NURE,ELS,0.0461547943,54457.0,4567308.59
2021-11-15,NURE,AMH,0.0458949969,113540.0,4541600.0
2021-11-15,NURE,LSI,0.0457669366,33978.0,4528927.62
2021-11-15,NURE,SUI,0.0439606178,22832.0,4350180.96
2021-11-15,NURE,AIRC-W,0.0373688543,68101.0,3697884.3
2021-11-15,NURE,ACC,0.0333795728,60353.0,3303119.69
2021-11-15,NURE,RHP,0.0225328218,23904.0,2229765.12
